participant_id,context_a,context_b,dominant_cosine,top2_mean_angle_deg,top2_max_angle_deg,eigenvalue_distance,spectral_radius_diff,operator_frobenius_distance,bin_clicks
P25,2,3,0.7573343363004252,54.87010899721912,72.33513265365367,0.03037447055704018,0.03037447055704018,0.8012037574842709,10
P25,2,4,0.5259549496416486,48.6107500803156,81.75378859302874,0.02536225941487874,0.02536225941487874,0.9588784621459778,10
P25,3,4,0.29752161855068804,33.207239860130684,45.180393253024825,0.05573672997191892,0.05573672997191892,0.8387219950039247,10
P27,1,2,0.0007906812275464276,28.400148646943833,28.400148646943833,0.53110693851188,0.11479786544931644,0.5621439311309305,10
P27,1,3,0.6153773322021467,46.94303089249464,46.94303089249464,0.18321029556875595,0.0542769046722171,0.6705286582380198,10
P27,1,4,0.3213204239529134,64.83735393748002,64.83735393748002,0.3166944232925627,0.17528458837502,0.8054196337391382,10
P27,2,3,0.15334056199836987,56.74637610086202,86.10031289553582,0.5300023268609404,0.16907477012153355,0.6725366809822605,10
P27,2,4,0.1247662394977317,62.47570987087302,67.41695294516599,0.7595638199081776,0.06048672292570356,0.7608370881890479,10
P27,3,4,0.002805033914533711,44.559136860106186,69.79086753284706,0.2295614930472371,0.2295614930472371,0.744668228460529,10
P28,1,2,0.13272352255972905,42.847165625503585,42.847165625503585,0.3072219924495712,0.15692899828903145,1.5518373755831059,10
P28,1,3,0.2909137656731092,72.79482954397736,72.79482954397736,0.929378202735864,0.21360612703990506,1.5406317440186734,10
P28,1,4,0.2159379486062556,55.19728389069991,55.19728389069991,0.3698993270963168,0.3005605377128432,1.2584299644062933,10
P28,2,3,0.43693998517249316,66.91998928075712,79.9236624648487,0.8044867369229033,0.05667712875087361,1.3292273439856463,10
P28,2,4,0.47222605775118215,36.536589171911594,69.52279598367862,0.14363153942381174,0.14363153942381174,1.3883078177443662,10
P28,3,4,0.27880134713304994,48.26488249726722,85.97121532574403,0.6608551974990915,0.08695441067293813,1.3464609676308545,10
