participant_id,color,contingency,stage_pair,n_early,n_late,dominant_cosine,top2_mean_angle_deg,top2_max_angle_deg,eigenvalue_distance,spectral_radius_diff,operator_frobenius_distance,early_predicts_late_skill
6a19b14498b3d36bccc467cb,green,A_rich,2v4,36,36,0.6734650154334045,20.97914556882209,41.958291137644174,0.019707896579951756,0.019707896579951756,2.2916721825905504,0.06275502346710804
6a19b14498b3d36bccc467cb,green,B_rich,1v3,36,36,0.14809141875308468,37.90674297822417,75.81348595644835,0.13972969897186838,0.13972969897186838,1.0011854244418301,-0.12918947286276872
6a1e249fc87cc5282b9262b3,blue,A_rich,1v3,36,36,0.2061226292400431,52.25423390043098,52.25423390043098,0.5756077527559842,0.08420302243358052,0.5417752195918574,0.5757804152887951
6a1e249fc87cc5282b9262b3,blue,B_rich,2v4,36,36,0.9796950319440818,33.68921575463298,67.37843150926597,0.11097337953665198,0.11097337953665198,0.5815149714002964,0.598985721413096
6a1e249fc87cc5282b9262b3,green,A_rich,2v4,36,36,0.9745255369391644,4.8804584931695425,9.76091698633907,0.03331417451895913,0.03331417451895913,0.3238893352433242,0.6626576404877422
6a1e249fc87cc5282b9262b3,green,B_rich,1v3,36,36,0.6797720823789373,42.42010264326296,42.42010264326296,0.461259458174444,0.45587468636854683,0.7930742020435547,0.5361665831879459
6a22f88b62f94cd1d52e3d19,blue,A_rich,2v4,36,36,0.16613417260603078,80.43687280756025,80.43687280756025,0.14022358059785342,0.008410807717479152,0.9095158883217942,0.5781128942019664
6a22f88b62f94cd1d52e3d19,blue,B_rich,1v3,36,36,0.5475854265103444,26.521780389366423,26.521780389366423,0.5499855108603439,0.11601162550579941,0.739121655727748,0.5773307176975166
6a22f88b62f94cd1d52e3d19,green,A_rich,1v3,36,36,0.07938523439351901,49.26683160969704,49.26683160969704,0.6077784010829441,0.19588545896158321,1.33582037488338,0.3653790297159044
6a22f88b62f94cd1d52e3d19,green,B_rich,2v4,36,36,0.8900540898692921,27.11995542327587,27.11995542327587,0.4133990038881762,0.14841096565810247,0.634945742559907,0.6090184765146692
6a43a2cd49feba211cdecf86,blue,A_rich,2v4,36,36,0.7402940619240929,28.96589826250579,28.96589826250579,0.08667035024794081,0.06523063082272224,0.4800414472456813,0.6051567929965965
6a43a2cd49feba211cdecf86,blue,B_rich,1v3,36,36,0.6926905221572686,12.36107233623738,12.36107233623738,0.22709086566758524,0.035263394272829734,0.6133438864042022,0.39865069281049825
6a43a2cd49feba211cdecf86,green,A_rich,1v3,36,36,0.6882749821082873,30.276271738969427,30.276271738969427,0.45392857502217326,0.12400286969174318,0.6255433103709402,0.643992512760519
6a43a2cd49feba211cdecf86,green,B_rich,2v4,36,36,0.8169260585079241,35.221746224545186,35.221746224545186,0.4137417140411082,0.21716245843594317,0.8835838457329264,0.5746025101962359
6a4407786c0afee02f74e0d0,blue,A_rich,2v4,36,36,0.8376561261949452,33.106566268361945,33.106566268361945,0.15939262297833579,0.1582358807884004,0.9694291711750084,0.6270059803112813
6a4407786c0afee02f74e0d0,blue,B_rich,1v3,36,36,0.1064016371913875,54.776095598882506,54.776095598882506,0.5077255049251362,0.12206001018506735,0.9066082474295437,0.5526566773943767
6a4407786c0afee02f74e0d0,green,A_rich,1v3,36,36,0.17324618670017888,40.71174073825248,81.42347938519517,0.9208973263098088,0.07150892638491291,0.8126540359446672,0.6441401225862642
6a4407786c0afee02f74e0d0,green,B_rich,2v4,36,36,0.8996155154730032,25.89242560523848,25.89242560523848,0.17283021621283282,0.011386606838093394,0.9764786956752901,0.5695380981912859
