participant_id,color,flipped,pre_last50,post_r1,post_first5,post_41_60,start_richness_gap
650f06d2017a53e840c5af61,#2E7D5B,False,0.5,1.0,1.0,0.85,0.06999999999999995
650f06d2017a53e840c5af61,#2E7D5B,False,0.6,1.0,1.0,1.0,0.06999999999999995
650f06d2017a53e840c5af61,#2E7D5B,False,0.54,1.0,1.0,0.9,0.06999999999999995
650f06d2017a53e840c5af61,#2E7D5B,True,0.43999999999999995,0.0,0.0,0.35,0.06999999999999995
650f06d2017a53e840c5af61,#2E7D5B,False,0.72,0.0,0.0,0.6,0.17000000000000004
650f06d2017a53e840c5af61,#2E7D5B,False,0.66,1.0,1.0,0.3,0.06999999999999995
650f06d2017a53e840c5af61,#2E7D5B,False,0.26,0.0,0.8,0.25,0.17000000000000004
650f06d2017a53e840c5af61,#2E7D5B,True,0.62,0.0,0.0,0.7,0.06999999999999995
650f06d2017a53e840c5af61,#2E7D5B,False,0.62,1.0,1.0,0.8,0.06999999999999995
650f06d2017a53e840c5af61,#2E7D5B,False,0.5800000000000001,1.0,1.0,0.65,0.06999999999999995
650f06d2017a53e840c5af61,#2E7D5B,False,0.45999999999999996,1.0,1.0,1.0,0.06999999999999995
664b8bef90cdb799d4c4c35d,#2E5C8A,False,0.32,0.0,0.2,0.15,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E5C8A,False,0.3,0.0,0.0,0.5,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E5C8A,False,0.22,0.0,0.0,0.25,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E5C8A,True,0.22,1.0,0.4,0.9,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E5C8A,False,0.54,1.0,1.0,0.65,0.06999999999999995
664b8bef90cdb799d4c4c35d,#2E5C8A,False,0.8200000000000001,0.0,0.0,0.65,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E5C8A,False,0.7,0.0,0.0,0.7,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E5C8A,True,0.48,1.0,1.0,0.7,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E5C8A,False,0.5,0.0,0.0,0.45,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E5C8A,False,0.4,0.0,0.2,0.55,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E5C8A,False,0.54,0.0,0.0,0.8,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E5C8A,True,0.6,1.0,1.0,0.8,0.17000000000000004
664b8bef90cdb799d4c4c35d,#2E5C8A,False,0.64,1.0,1.0,1.0,0.06999999999999995
